date,lga_name,average_historical_occupancy,average_daily_rate
2023-01-01,Gold Coast,0.7636,391.8278
2023-01-01,Whitsunday,0.8575,378.0744
2023-01-01,Cairns,0.776,283.8151
2023-01-01,Noosa,0.8501,431.3611
2023-01-02,Whitsunday,0.8195,377.7442
2023-01-02,Noosa,0.8242,426.1181
2023-01-02,Cairns,0.7189,276.0222
2023-01-02,Gold Coast,0.7355,387.2607
2023-01-03,Cairns,0.6871,272.2751
2023-01-03,Gold Coast,0.7538,386.5607
2023-01-03,Noosa,0.821,425.0433
2023-01-03,Whitsunday,0.7812,376.3594
2023-01-04,Gold Coast,0.7608,380.3056
2023-01-04,Whitsunday,0.7735,377.0013
2023-01-04,Noosa,0.8048,421.5872
2023-01-04,Cairns,0.6647,267.2004
2023-01-05,Cairns,0.6568,266.6966
2023-01-05,Whitsunday,0.7986,385.6598
2023-01-05,Gold Coast,0.7573,381.5207
2023-01-05,Noosa,0.8002,422.3139
2023-01-06,Noosa,0.765,405.0788
2023-01-06,Gold Coast,0.7498,376.1983
2023-01-06,Whitsunday,0.7938,373.0587
2023-01-06,Cairns,0.6549,260.9983
2023-01-07,Noosa,0.7467,399.8842
2023-01-07,Cairns,0.6348,258.1485
2023-01-07,Gold Coast,0.7277,374.7809
2023-01-07,Whitsunday,0.7799,364.5553
2023-01-08,Noosa,0.7181,397.4451
2023-01-08,Cairns,0.6106,253.2946
2023-01-08,Whitsunday,0.7452,370.3526
2023-01-08,Gold Coast,0.6865,361.7114
2023-01-09,Gold Coast,0.6918,357.9031
2023-01-09,Cairns,0.5972,253.2524
2023-01-09,Noosa,0.7187,393.1512
2023-01-09,Whitsunday,0.739,364.0056
2023-01-10,Noosa,0.7174,396.8259
2023-01-10,Whitsunday,0.7258,368.2444
2023-01-10,Gold Coast,0.7102,357.4896
2023-01-10,Cairns,0.5847,250.5041
2023-01-11,Noosa,0.7198,392.9046
2023-01-11,Cairns,0.5823,249.6869
2023-01-11,Whitsunday,0.721,366.8329
2023-01-11,Gold Coast,0.7269,356.2818
2023-01-12,Noosa,0.6993,387.2321
2023-01-12,Gold Coast,0.7338,353.8467
2023-01-12,Cairns,0.5829,246.3707
2023-01-12,Whitsunday,0.6985,365.5661
2023-01-13,Gold Coast,0.7427,359.9103
2023-01-13,Noosa,0.7099,383.2939
2023-01-13,Whitsunday,0.7199,360.6415
2023-01-13,Cairns,0.5685,246.4229
2023-01-14,Noosa,0.6995,384.5959
2023-01-14,Whitsunday,0.7139,363.9764
2023-01-14,Cairns,0.5602,244.7839
2023-01-14,Gold Coast,0.7345,358.1403
2023-01-15,Noosa,0.6362,386.165
2023-01-15,Cairns,0.5497,238.7771
2023-01-15,Whitsunday,0.6513,363.9265
2023-01-15,Gold Coast,0.6567,349.232
2023-01-16,Noosa,0.6289,380.8513
2023-01-16,Cairns,0.5391,239.2601
2023-01-16,Gold Coast,0.6616,346.4049
2023-01-16,Whitsunday,0.6397,367.1971
2023-01-17,Cairns,0.5305,239.34
2023-01-17,Whitsunday,0.6256,358.0639
2023-01-17,Gold Coast,0.6661,343.0668
2023-01-17,Noosa,0.6293,377.7614
2023-01-18,Gold Coast,0.6753,346.4894
2023-01-18,Cairns,0.5371,237.669
2023-01-18,Whitsunday,0.6158,372.7315
2023-01-18,Noosa,0.6253,379.1298
2023-01-19,Gold Coast,0.6809,345.4083
2023-01-19,Whitsunday,0.6089,375.0769
2023-01-19,Cairns,0.5156,238.3914
2023-01-19,Noosa,0.6355,379.6353
2023-01-20,Whitsunday,0.6485,362.6475
2023-01-20,Cairns,0.5365,236.0929
2023-01-20,Gold Coast,0.69,354.7091
2023-01-20,Noosa,0.6311,373.1004
2023-01-21,Gold Coast,0.6872,353.5422
2023-01-21,Whitsunday,0.6306,363.099
2023-01-21,Noosa,0.6363,371.3553
2023-01-21,Cairns,0.5332,237.6139
2023-01-22,Whitsunday,0.5872,368.2111
2023-01-22,Cairns,0.5246,231.0846
2023-01-22,Noosa,0.5638,366.4297
2023-01-22,Gold Coast,0.6345,341.0137
2023-01-23,Cairns,0.5233,222.3842
2023-01-23,Gold Coast,0.625,335.2294
2023-01-23,Noosa,0.5362,365.8222
2023-01-23,Whitsunday,0.5678,361.5284
2023-01-24,Cairns,0.5129,220.784
2023-01-24,Gold Coast,0.6083,332.1403
2023-01-24,Whitsunday,0.5782,354.4482
2023-01-24,Noosa,0.5261,358.4518
2023-01-25,Whitsunday,0.5835,349.9989
2023-01-25,Noosa,0.5798,355.3859
2023-01-25,Cairns,0.5235,221.648
2023-01-25,Gold Coast,0.6204,328.0949
2023-01-26,Whitsunday,0.6233,347.2038
2023-01-26,Noosa,0.6617,355.1527
2023-01-26,Cairns,0.5401,221.2421
