date,lga_name,average_length_of_stay,average_booking_window
2023-01-01,Gold Coast,8.0718,75.3816
2023-01-01,Whitsunday,5.1407,102.9851
2023-01-01,Noosa,6.2792,91.072
2023-01-01,Cairns,10.6884,81.6115
2023-01-02,Cairns,5.5602,71.4367
2023-01-02,Noosa,5.4782,93.7237
2023-01-02,Whitsunday,4.0717,102.3384
2023-01-02,Gold Coast,5.2213,68.0838
2023-01-03,Cairns,5.3333,74.44
2023-01-03,Gold Coast,4.952,68.264
2023-01-03,Noosa,6.9093,89.8705
2023-01-03,Whitsunday,7.0931,92.0248
2023-01-04,Gold Coast,4.8342,66.9005
2023-01-04,Whitsunday,5.0068,86.6068
2023-01-04,Noosa,9.5333,89.6842
2023-01-04,Cairns,4.9628,59.8801
2023-01-05,Cairns,6.261,65.9397
2023-01-05,Whitsunday,5.9565,89.3726
2023-01-05,Gold Coast,4.8191,55.8459
2023-01-05,Noosa,4.1992,79.8844
2023-01-06,Noosa,5.6237,67.6067
2023-01-06,Gold Coast,4.9936,61.3881
2023-01-06,Whitsunday,4.4109,73.6301
2023-01-06,Cairns,5.645,49.3931
2023-01-07,Noosa,6.6092,78.1292
2023-01-07,Cairns,9.632,73.844
2023-01-07,Gold Coast,4.9167,59.4815
2023-01-07,Whitsunday,4.2153,81.2076
2023-01-08,Noosa,6.1242,71.8
2023-01-08,Cairns,5.6043,73.1347
2023-01-08,Whitsunday,6.0136,85.17
2023-01-08,Gold Coast,5.593,56.208
2023-01-09,Gold Coast,5.6948,62.4968
2023-01-09,Cairns,5.8905,58.083
2023-01-09,Noosa,5.7521,71.6005
2023-01-09,Whitsunday,5.9022,80.0459
2023-01-10,Noosa,5.4356,63.8132
2023-01-10,Whitsunday,3.7272,89.9173
2023-01-10,Cairns,4.5622,54.1612
2023-01-10,Gold Coast,4.69,54.0033
2023-01-11,Noosa,4.9459,62.6563
2023-01-11,Cairns,5.9716,61.1886
2023-01-11,Whitsunday,5.3858,86.0472
2023-01-11,Gold Coast,4.8237,54.7398
2023-01-12,Noosa,4.4861,62.1343
2023-01-12,Gold Coast,4.4981,55.626
2023-01-12,Cairns,5.615,53.469
2023-01-12,Whitsunday,3.664,64.9843
2023-01-13,Gold Coast,3.4353,53.0077
2023-01-13,Noosa,4.7259,57.1355
2023-01-13,Whitsunday,3.3272,82.8666
2023-01-13,Cairns,6.0048,42.7135
2023-01-14,Noosa,4.5472,64.1013
2023-01-14,Whitsunday,3.5985,76.3873
2023-01-14,Cairns,4.0462,54.2777
2023-01-14,Gold Coast,5.4372,60.8339
2023-01-15,Noosa,7.2302,74.0296
2023-01-15,Cairns,7.244,57.9803
2023-01-15,Whitsunday,3.248,61.416
2023-01-15,Gold Coast,6.1109,56.9229
2023-01-16,Noosa,4.8645,73.6967
2023-01-16,Cairns,5.4862,53.266
2023-01-16,Gold Coast,5.7218,61.3505
2023-01-16,Whitsunday,3.7372,51.9635
2023-01-17,Cairns,7.0909,44.5681
2023-01-17,Whitsunday,7.9406,44
2023-01-17,Gold Coast,5.2011,54.6708
