id,date,lga_name,lga_id,average_historical_occupancy,average_daily_rate,average_length_of_stay,average_booking_window
1,2023-01-01,Cairns,1,0.776,283.8151,10.6884,81.6115
5,2023-01-02,Cairns,1,0.7189,276.0222,5.5602,71.4367
9,2023-01-03,Cairns,1,0.6871,272.2751,5.3333,74.44
13,2023-01-04,Cairns,1,0.6647,267.2004,4.9628,59.8801
17,2023-01-05,Cairns,1,0.6568,266.6966,6.261,65.9397
21,2023-01-06,Cairns,1,0.6549,260.9983,5.645,49.3931
25,2023-01-07,Cairns,1,0.6348,258.1485,9.632,73.844
29,2023-01-08,Cairns,1,0.6106,253.2946,5.6043,73.1347
33,2023-01-09,Cairns,1,0.5972,253.2524,5.8905,58.083
37,2023-01-10,Cairns,1,0.5847,250.5041,4.5622,54.1612
41,2023-01-11,Cairns,1,0.5823,249.6869,5.9716,61.1886
45,2023-01-12,Cairns,1,0.5829,246.3707,5.615,53.469
49,2023-01-13,Cairns,1,0.5685,246.4229,6.0048,42.7135
53,2023-01-14,Cairns,1,0.5602,244.7839,4.0462,54.2777
57,2023-01-15,Cairns,1,0.5497,238.7771,7.244,57.9803
61,2023-01-16,Cairns,1,0.5391,239.2601,5.4862,53.266
65,2023-01-17,Cairns,1,0.5305,239.34,7.0909,44.5681
69,2023-01-18,Cairns,1,0.5371,237.669,5.733,45.1402
73,2023-01-19,Cairns,1,0.5156,238.3914,4.6195,47.3369
77,2023-01-20,Cairns,1,0.5365,236.0929,4.5294,38.0042
81,2023-01-21,Cairns,1,0.5332,237.6139,5.9372,48.13
85,2023-01-22,Cairns,1,0.5246,231.0846,4.7,44.5526
89,2023-01-23,Cairns,1,0.5233,222.3842,7.5172,44.6256
93,2023-01-24,Cairns,1,0.5129,220.784,6.4402,31.8364
97,2023-01-25,Cairns,1,0.5235,221.648,4.8,32.8279
101,2023-01-26,Cairns,1,0.5401,221.2421,5.5228,34.9045
105,2023-01-27,Cairns,1,0.5343,217.2098,4.6682,25.8388
109,2023-01-28,Cairns,1,0.5154,217.4798,4.5073,27.463
113,2023-01-29,Cairns,1,0.4794,209.7073,4.3793,33.6453
117,2023-01-30,Cairns,1,0.4804,209.4449,4.0333,23.45
121,2023-01-31,Cairns,1,0.4472,206.3025,4.5914,39.7682
125,2023-02-01,Cairns,1,0.4477,198.1144,19.2145,65.4327
129,2023-02-02,Cairns,1,0.4547,202.2398,5.2265,29.5082
133,2023-02-03,Cairns,1,0.4648,209.421,4.6298,35.7734
137,2023-02-04,Cairns,1,0.4762,211.3566,6.0984,36.1658
141,2023-02-05,Cairns,1,0.4893,209.2417,4.7488,33.9668
145,2023-02-06,Cairns,1,0.4665,206.7086,6.0726,41.9608
149,2023-02-07,Cairns,1,0.4821,206.8664,3.5027,23.5891
153,2023-02-08,Cairns,1,0.4873,207.5965,4.0108,29.827
157,2023-02-09,Cairns,1,0.4932,208.5683,3.8342,33.9834
161,2023-02-10,Cairns,1,0.4923,213.9405,3.8038,40.9377
165,2023-02-11,Cairns,1,0.5072,212.046,5,32.0154
169,2023-02-12,Cairns,1,0.5116,210.7068,4.8732,34.5868
173,2023-02-13,Cairns,1,0.5024,207.017,4.0052,34.746
177,2023-02-14,Cairns,1,0.5017,206.6187,4.3151,30.0909
181,2023-02-15,Cairns,1,0.4918,208.8715,3.7173,42.7445
185,2023-02-16,Cairns,1,0.5027,211.5148,4.7846,37.3692
189,2023-02-17,Cairns,1,0.511,213.2624,4.2,37.7181
193,2023-02-18,Cairns,1,0.5301,215.1619,3.1772,35.1545
197,2023-02-19,Cairns,1,0.528,213.1799,5.8333,39.9829
201,2023-02-20,Cairns,1,0.498,210.9428,4.175,26.2
205,2023-02-21,Cairns,1,0.5017,211.4157,3.463,24.5221
209,2023-02-22,Cairns,1,0.4917,208.3365,5.5026,35.1904
213,2023-02-23,Cairns,1,0.5334,217.5001,3.1901,25.4144
217,2023-02-24,Cairns,1,0.5121,221.36,3.5384,34.47
221,2023-02-25,Cairns,1,0.5532,224.9966,2.869,23.2103
225,2023-02-26,Cairns,1,0.5053,218.9067,3.8206,31.6367
229,2023-02-27,Cairns,1,0.4912,211.7345,3.9913,26.2554
233,2023-02-28,Cairns,1,0.4946,213.001,3.6806,22.9747
237,2023-03-01,Cairns,1,0.4862,212.6306,9.8364,57.368
241,2023-03-02,Cairns,1,0.5043,218.5524,4.4896,32.6721
245,2023-03-03,Cairns,1,0.5215,222.8482,4.0826,26.4566
249,2023-03-04,Cairns,1,0.5379,219.0778,5.6846,32.6936
253,2023-03-05,Cairns,1,0.5285,217.4426,4.7288,44.1955
257,2023-03-06,Cairns,1,0.4953,216.8087,4.2388,37.6766
261,2023-03-07,Cairns,1,0.5043,217.4517,4.947,32.3862
265,2023-03-08,Cairns,1,0.5061,214.7045,3.9903,32.9323
269,2023-03-09,Cairns,1,0.521,222.7556,5.7894,36.8866
273,2023-03-10,Cairns,1,0.5576,228.9069,4.5105,30.9929
277,2023-03-11,Cairns,1,0.5625,226.1401,3.9013,31.3991
281,2023-03-12,Cairns,1,0.5507,218.433,4.3955,25.8044
285,2023-03-13,Cairns,1,0.5205,215.6701,5.8325,37.9909
289,2023-03-14,Cairns,1,0.5282,218.516,4.1009,27.4471
293,2023-03-15,Cairns,1,0.535,216.0334,8.033,41.5537
297,2023-03-16,Cairns,1,0.5425,220.2067,4.3101,33.7916
301,2023-03-17,Cairns,1,0.5552,220.4867,4.0843,31.7552
305,2023-03-18,Cairns,1,0.5637,224.7827,4.533,32.533
309,2023-03-19,Cairns,1,0.538,219.1323,6.9589,32.8769
313,2023-03-20,Cairns,1,0.5231,216.6758,8.0183,41.2752
317,2023-03-21,Cairns,1,0.525,219.1071,6.3661,37.3278
321,2023-03-22,Cairns,1,0.5208,220.0041,7.3489,33.0156
325,2023-03-23,Cairns,1,0.5342,218.7209,3.493,34.9581
329,2023-03-24,Cairns,1,0.5574,225.6015,4.245,43.6521
333,2023-03-25,Cairns,1,0.5671,225.5487,4.5603,34.0086
337,2023-03-26,Cairns,1,0.5425,220.9982,3.7414,41.439
341,2023-03-27,Cairns,1,0.5239,217.2848,4.2,36.715
345,2023-03-28,Cairns,1,0.5122,216.1558,4.0055,34.453
349,2023-03-29,Cairns,1,0.5133,215.139,4.3265,34.4591
353,2023-03-30,Cairns,1,0.5198,216.3151,4.199,41.412
357,2023-03-31,Cairns,1,0.5448,225.4406,4.9128,49.7916
361,2023-04-01,Cairns,1,0.5636,240.6684,9,56.5425
365,2023-04-02,Cairns,1,0.5727,243.6298,4.44,35.236
369,2023-04-03,Cairns,1,0.578,238.2756,4.3617,44.8794
373,2023-04-04,Cairns,1,0.5817,241.4394,3.4305,38.9305
377,2023-04-05,Cairns,1,0.5978,246.5749,4.5147,61.4669
381,2023-04-06,Cairns,1,0.6512,258.5598,3.7338,56.0268
385,2023-04-07,Cairns,1,0.7196,267.5967,4.3505,62.9952
389,2023-04-08,Cairns,1,0.7603,273.2531,4.0032,59.355
393,2023-04-09,Cairns,1,0.7501,278.2255,4.7518,48.5555
397,2023-04-10,Cairns,1,0.6874,272.7108,4.8165,44.6654
401,2023-04-11,Cairns,1,0.6783,264.4554,5.9366,49.0633
405,2023-04-12,Cairns,1,0.6681,258.6156,4.6725,43.8169
409,2023-04-13,Cairns,1,0.6811,256.3159,3.823,40.6538
413,2023-04-14,Cairns,1,0.6611,256.2014,4.6245,44.2379
417,2023-04-15,Cairns,1,0.642,253.0031,4.2264,45.1849
421,2023-04-16,Cairns,1,0.6198,250.1072,5.5384,46.2307
425,2023-04-17,Cairns,1,0.6145,247.614,5.3027,59.5782
429,2023-04-18,Cairns,1,0.5974,242.9589,4.5075,37.1859
433,2023-04-19,Cairns,1,0.5985,241.5834,4.2719,41.7949
437,2023-04-20,Cairns,1,0.6116,245.3882,4.0559,45.0373
441,2023-04-21,Cairns,1,0.628,246.8545,4.8035,39.1649
445,2023-04-22,Cairns,1,0.6314,245.6351,3.4848,37.1439
449,2023-04-23,Cairns,1,0.5898,244.6654,4.3288,43.4459
453,2023-04-24,Cairns,1,0.5801,242.0998,4.4612,47.1836
457,2023-04-25,Cairns,1,0.5699,236.9034,3.8104,34.2338
461,2023-04-26,Cairns,1,0.5498,235.612,4.7914,43.3489
465,2023-04-27,Cairns,1,0.5748,238.877,4.3122,45.3517
469,2023-04-28,Cairns,1,0.5967,244.0014,3.9525,39.3084
473,2023-04-29,Cairns,1,0.616,241.6631,3.6123,35.4818
477,2023-04-30,Cairns,1,0.5868,240.2765,6.3308,36.1764
481,2023-05-01,Cairns,1,0.5686,238.5788,10.1212,57.406
485,2023-05-02,Cairns,1,0.5422,232.8755,4.1244,37.4888
489,2023-05-03,Cairns,1,0.545,231.1799,4.163,43.339
493,2023-05-04,Cairns,1,0.5507,236.8259,3.9122,48.4473
497,2023-05-05,Cairns,1,0.5767,237.4605,3.9176,42.0187
501,2023-05-06,Cairns,1,0.6019,242.3177,4.0154,39.1119
505,2023-05-07,Cairns,1,0.5771,235.3521,4.7634,44.6431
509,2023-05-08,Cairns,1,0.5641,229.5264,5.0634,40.0753
513,2023-05-09,Cairns,1,0.5563,228.1097,4.8073,38.6009
517,2023-05-10,Cairns,1,0.5521,226.7616,4.3125,46.6458
521,2023-05-11,Cairns,1,0.5652,233.4245,4.4517,45.1184
525,2023-05-12,Cairns,1,0.622,240.6892,3.2372,45.8918
529,2023-05-13,Cairns,1,0.6177,237.9149,4.5,46.3666
533,2023-05-14,Cairns,1,0.5941,237.3425,4.5967,39.3427
537,2023-05-15,Cairns,1,0.5611,231.4953,4.8888,58.7078
541,2023-05-16,Cairns,1,0.5702,233.2789,4.8039,46.9098
545,2023-05-17,Cairns,1,0.5895,234.3199,3.9493,51.7468
549,2023-05-18,Cairns,1,0.6235,241.1903,3.8069,50.5868
553,2023-05-19,Cairns,1,0.6417,240.0678,3.4833,51.9409
557,2023-05-20,Cairns,1,0.6693,241.5875,4.7561,58.3109
561,2023-05-21,Cairns,1,0.6522,241.9596,4.6384,45.0153
565,2023-05-22,Cairns,1,0.61,236.815,4.3333,48.0259
569,2023-05-23,Cairns,1,0.5954,237.674,4.1692,61.6377
573,2023-05-24,Cairns,1,0.6122,244.3075,3.4945,46.5559
577,2023-05-25,Cairns,1,0.631,249.531,4.0912,47.7035
581,2023-05-26,Cairns,1,0.6488,252.6065,3.5876,41.88
585,2023-05-27,Cairns,1,0.6365,248.124,5.1091,45.1971
589,2023-05-28,Cairns,1,0.6224,248.534,4.3,57.6133
593,2023-05-29,Cairns,1,0.5916,241.2118,3.9073,42.5637
597,2023-05-30,Cairns,1,0.5751,237.0911,4.3256,41.7247
601,2023-05-31,Cairns,1,0.5741,239.1085,4.8853,61.3478
605,2023-06-01,Cairns,1,0.5753,249.5702,7.9182,78.066
609,2023-06-02,Cairns,1,0.5966,250.1455,6.1754,60.7894
613,2023-06-03,Cairns,1,0.6031,247.4835,5.3479,61.4594
617,2023-06-04,Cairns,1,0.6045,246.6533,4.1149,47.7318
621,2023-06-05,Cairns,1,0.5957,242.2927,4.4921,43.5275
625,2023-06-06,Cairns,1,0.6059,239.4482,4.4014,55.1189
629,2023-06-07,Cairns,1,0.6128,242.6875,4.7314,46.719
633,2023-06-08,Cairns,1,0.6496,249.0698,5.1961,55.5852
637,2023-06-09,Cairns,1,0.6684,249.3403,3.8746,59.047
641,2023-06-10,Cairns,1,0.684,249.3434,5.3785,54.0964
645,2023-06-11,Cairns,1,0.6687,249.7798,4.7266,51.9965
649,2023-06-12,Cairns,1,0.6442,243.8264,3.8892,56.2885
653,2023-06-13,Cairns,1,0.6532,241.8085,3.5927,51.9768
657,2023-06-14,Cairns,1,0.6677,247.9119,4.4605,68.8947
661,2023-06-15,Cairns,1,0.7128,255.1704,4.6538,88.4487
665,2023-06-16,Cairns,1,0.7504,260.0441,3.7833,70.6722
669,2023-06-17,Cairns,1,0.7583,259.4429,4.5851,61.4574
673,2023-06-18,Cairns,1,0.7378,258.4358,4.1098,54.3223
677,2023-06-19,Cairns,1,0.6888,255.5371,6.783,59.511
681,2023-06-20,Cairns,1,0.6839,254.4083,4.5623,67.9529
685,2023-06-21,Cairns,1,0.6764,254.8376,3.8026,50.8453
689,2023-06-22,Cairns,1,0.6944,255.0752,3.6398,66.451
693,2023-06-23,Cairns,1,0.7247,266.8709,4.2831,72.7678
697,2023-06-24,Cairns,1,0.7379,273.1094,5.2542,81.7316
701,2023-06-25,Cairns,1,0.722,273.5016,4.8157,76.4385
705,2023-06-26,Cairns,1,0.7473,279.3449,5.3818,77.0597
709,2023-06-27,Cairns,1,0.7597,279.6333,5.0291,74.5218
713,2023-06-28,Cairns,1,0.7699,286.176,5.1523,72.8278
717,2023-06-29,Cairns,1,0.783,285.7288,4.6933,76.08
721,2023-06-30,Cairns,1,0.7949,287.0393,5.1424,80.8407
725,2023-07-01,Cairns,1,0.802,286.9453,5.7442,91.7468
729,2023-07-02,Cairns,1,0.798,288.6349,4.9294,80.2852
733,2023-07-03,Cairns,1,0.7851,290.4982,4.9712,72.6465
737,2023-07-04,Cairns,1,0.7946,286.8998,3.9107,77.9323
741,2023-07-05,Cairns,1,0.799,290.2243,5.0385,85.1157
745,2023-07-06,Cairns,1,0.8081,290.2736,4.5895,76.4335
749,2023-07-07,Cairns,1,0.7967,288.9935,5.1319,83.1533
753,2023-07-08,Cairns,1,0.7917,285.3962,5.1292,77.5028
757,2023-07-09,Cairns,1,0.7804,288.5431,5.2231,78.6186
761,2023-07-10,Cairns,1,0.782,287.6298,5.8102,75.5528
765,2023-07-11,Cairns,1,0.7768,281.3371,5.6941,80.0152
769,2023-07-12,Cairns,1,0.7932,275.0874,4.6785,73.491
773,2023-07-13,Cairns,1,0.7951,271.8231,6.8746,70.2257
777,2023-07-14,Cairns,1,0.8011,272.763,6.023,65.8213
781,2023-07-15,Cairns,1,0.8255,276.3123,5.0387,74.2067
785,2023-07-16,Cairns,1,0.7994,275.3655,6.559,70.4223
789,2023-07-17,Cairns,1,0.797,276.6537,6.3316,73.0222
793,2023-07-18,Cairns,1,0.8031,275.8107,4.1949,61.8301
797,2023-07-19,Cairns,1,0.8156,277.9692,4.4892,61.1834
801,2023-07-20,Cairns,1,0.8136,277.518,4.3504,66.6344
805,2023-07-21,Cairns,1,0.8312,278.1001,3.9719,70.0612
809,2023-07-22,Cairns,1,0.8064,276.1719,4.9716,74.8107
813,2023-07-23,Cairns,1,0.7892,276.7782,4.9118,75.2431
