id,date,lga_name,lga_id,average_historical_occupancy,average_daily_rate,average_length_of_stay,average_booking_window
2,2023-01-01,Gold Coast,2,0.7636,391.8278,8.0718,75.3816
6,2023-01-02,Gold Coast,2,0.7355,387.2607,5.2213,68.0838
10,2023-01-03,Gold Coast,2,0.7538,386.5607,4.952,68.264
14,2023-01-04,Gold Coast,2,0.7608,380.3056,4.8342,66.9005
18,2023-01-05,Gold Coast,2,0.7573,381.5207,4.8191,55.8459
22,2023-01-06,Gold Coast,2,0.7498,376.1983,4.9936,61.3881
26,2023-01-07,Gold Coast,2,0.7277,374.7809,4.9167,59.4815
30,2023-01-08,Gold Coast,2,0.6865,361.7114,5.593,56.208
34,2023-01-09,Gold Coast,2,0.6918,357.9031,5.6948,62.4968
38,2023-01-10,Gold Coast,2,0.7102,357.4896,4.69,54.0033
42,2023-01-11,Gold Coast,2,0.7269,356.2818,4.8237,54.7398
46,2023-01-12,Gold Coast,2,0.7338,353.8467,4.4981,55.626
50,2023-01-13,Gold Coast,2,0.7427,359.9103,3.4353,53.0077
54,2023-01-14,Gold Coast,2,0.7345,358.1403,5.4372,60.8339
58,2023-01-15,Gold Coast,2,0.6567,349.232,6.1109,56.9229
62,2023-01-16,Gold Coast,2,0.6616,346.4049,5.7218,61.3505
66,2023-01-17,Gold Coast,2,0.6661,343.0668,5.2011,54.6708
70,2023-01-18,Gold Coast,2,0.6753,346.4894,4.4763,51.8448
74,2023-01-19,Gold Coast,2,0.6809,345.4083,3.7675,45.6787
78,2023-01-20,Gold Coast,2,0.69,354.7091,4.9429,44.6734
82,2023-01-21,Gold Coast,2,0.6872,353.5422,5.7272,50.2692
86,2023-01-22,Gold Coast,2,0.6345,341.0137,6.1779,49.8133
90,2023-01-23,Gold Coast,2,0.625,335.2294,5.7053,52.7515
94,2023-01-24,Gold Coast,2,0.6083,332.1403,5.3433,43.4626
98,2023-01-25,Gold Coast,2,0.6204,328.0949,4.4531,43.2765
102,2023-01-26,Gold Coast,2,0.6664,328.7861,4.3793,40.2912
106,2023-01-27,Gold Coast,2,0.6784,333.461,4.4122,46.5329
110,2023-01-28,Gold Coast,2,0.644,328.3863,4.129,37.2322
