id,date,lga_name,lga_id,average_historical_occupancy,average_daily_rate,average_length_of_stay,average_booking_window
3,2023-01-01,Noosa,3,0.8501,431.3611,6.2792,91.072
7,2023-01-02,Noosa,3,0.8242,426.1181,5.4782,93.7237
11,2023-01-03,Noosa,3,0.821,425.0433,6.9093,89.8705
15,2023-01-04,Noosa,3,0.8048,421.5872,9.5333,89.6842
19,2023-01-05,Noosa,3,0.8002,422.3139,4.1992,79.8844
23,2023-01-06,Noosa,3,0.765,405.0788,5.6237,67.6067
27,2023-01-07,Noosa,3,0.7467,399.8842,6.6092,78.1292
31,2023-01-08,Noosa,3,0.7181,397.4451,6.1242,71.8
35,2023-01-09,Noosa,3,0.7187,393.1512,5.7521,71.6005
39,2023-01-10,Noosa,3,0.7174,396.8259,5.4356,63.8132
43,2023-01-11,Noosa,3,0.7198,392.9046,4.9459,62.6563
47,2023-01-12,Noosa,3,0.6993,387.2321,4.4861,62.1343
51,2023-01-13,Noosa,3,0.7099,383.2939,4.7259,57.1355
55,2023-01-14,Noosa,3,0.6995,384.5959,4.5472,64.1013
59,2023-01-15,Noosa,3,0.6362,386.165,7.2302,74.0296
63,2023-01-16,Noosa,3,0.6289,380.8513,4.8645,73.6967
67,2023-01-17,Noosa,3,0.6293,377.7614,4.9581,53.2719
71,2023-01-18,Noosa,3,0.6253,379.1298,4.7323,57.4272
75,2023-01-19,Noosa,3,0.6355,379.6353,5.0806,51.6572
79,2023-01-20,Noosa,3,0.6311,373.1004,3.6091,61.4823
83,2023-01-21,Noosa,3,0.6363,371.3553,5.3122,71.9036
87,2023-01-22,Noosa,3,0.5638,366.4297,4.7243,65.7102
91,2023-01-23,Noosa,3,0.5362,365.8222,5.7159,72.4242
95,2023-01-24,Noosa,3,0.5261,358.4518,4.258,56.344
99,2023-01-25,Noosa,3,0.5798,355.3859,3.3816,49.4408
103,2023-01-26,Noosa,3,0.6617,355.1527,3.6715,48.6102
107,2023-01-27,Noosa,3,0.6835,349.7366,3.6708,47.9686
111,2023-01-28,Noosa,3,0.6452,350.3235,3.3073,47.4862
115,2023-01-29,Noosa,3,0.4887,336.473,4.5992,42.3393
119,2023-01-30,Noosa,3,0.4854,335.8047,5.4589,38.4538
123,2023-01-31,Noosa,3,0.4459,332.434,5.6828,42.9911
127,2023-02-01,Noosa,3,0.463,324.0884,19.1823,84.6729
131,2023-02-02,Noosa,3,0.5197,329.0126,4.1818,42.3939
135,2023-02-03,Noosa,3,0.569,345.9629,4.496,55.1122
139,2023-02-04,Noosa,3,0.6005,344.8831,4.3568,52.7095
143,2023-02-05,Noosa,3,0.5437,332.3867,5.2671,40.6678
147,2023-02-06,Noosa,3,0.5254,333.1642,6.749,48.3764
151,2023-02-07,Noosa,3,0.5185,327.6916,4.1878,36.6852
155,2023-02-08,Noosa,3,0.5301,326.8538,3.9861,36.5944
159,2023-02-09,Noosa,3,0.5523,331.5712,4.6058,32.9671
163,2023-02-10,Noosa,3,0.6173,342.0471,3.2907,46.4066
167,2023-02-11,Noosa,3,0.6506,341.2357,3.6821,49.6785
171,2023-02-12,Noosa,3,0.5674,334.4434,4.2826,43.3079
175,2023-02-13,Noosa,3,0.5362,329.5763,4.271,47.26
179,2023-02-14,Noosa,3,0.5333,324.8113,5.0506,34.2534
183,2023-02-15,Noosa,3,0.5345,327.0362,4.4638,51.9404
187,2023-02-16,Noosa,3,0.5721,329.6109,3.1433,42.74
191,2023-02-17,Noosa,3,0.634,343.005,3.3288,47.4809
195,2023-02-18,Noosa,3,0.6705,339.0934,4.8814,51.8493
199,2023-02-19,Noosa,3,0.5791,330.8116,5.0885,46.2435
203,2023-02-20,Noosa,3,0.5462,328.3199,4.8543,38.7216
207,2023-02-21,Noosa,3,0.5449,326.5671,4.0794,29.7029
211,2023-02-22,Noosa,3,0.5312,327.1185,3.4046,35.9116
215,2023-02-23,Noosa,3,0.6222,335.3218,2.7995,25.8589
219,2023-02-24,Noosa,3,0.6275,351.1025,3.3694,44.3364
223,2023-02-25,Noosa,3,0.7102,352.9846,3.3904,30.1083
227,2023-02-26,Noosa,3,0.5584,334.6732,3.7341,36.6388
231,2023-02-27,Noosa,3,0.5041,334.9224,3.9618,38.7786
235,2023-02-28,Noosa,3,0.5045,332.1227,3.6556,23.586
239,2023-03-01,Noosa,3,0.4933,326.1064,11.5571,61.7624
243,2023-03-02,Noosa,3,0.528,331.0152,4.6237,61.5082
247,2023-03-03,Noosa,3,0.6063,343.2149,3.1004,49.4429
251,2023-03-04,Noosa,3,0.6162,337.814,3.5129,36.8856
255,2023-03-05,Noosa,3,0.5444,328.6128,4.6183,36.166
259,2023-03-06,Noosa,3,0.5,325.5184,4.977,45.4559
263,2023-03-07,Noosa,3,0.5034,331.9215,4.9766,49.3084
267,2023-03-08,Noosa,3,0.5152,332.6883,4.0714,40.9705
271,2023-03-09,Noosa,3,0.5724,340.377,3.3591,45.4252
275,2023-03-10,Noosa,3,0.6314,353.5206,3.2181,43.6431
279,2023-03-11,Noosa,3,0.6486,355.563,3.3958,42.2534
283,2023-03-12,Noosa,3,0.5581,337.9633,3.7418,41.3381
