id,date,lga_name,lga_id,average_historical_occupancy,average_daily_rate,average_length_of_stay,average_booking_window
4,2023-01-01,Whitsunday,4,0.8575,378.0744,5.1407,102.9851
8,2023-01-02,Whitsunday,4,0.8195,377.7442,4.0717,102.3384
12,2023-01-03,Whitsunday,4,0.7812,376.3594,7.0931,92.0248
16,2023-01-04,Whitsunday,4,0.7735,377.0013,5.0068,86.6068
20,2023-01-05,Whitsunday,4,0.7986,385.6598,5.9565,89.3726
24,2023-01-06,Whitsunday,4,0.7938,373.0587,4.4109,73.6301
28,2023-01-07,Whitsunday,4,0.7799,364.5553,4.2153,81.2076
32,2023-01-08,Whitsunday,4,0.7452,370.3526,6.0136,85.17
36,2023-01-09,Whitsunday,4,0.739,364.0056,5.9022,80.0459
40,2023-01-10,Whitsunday,4,0.7258,368.2444,3.7272,89.9173
44,2023-01-11,Whitsunday,4,0.721,366.8329,5.3858,86.0472
48,2023-01-12,Whitsunday,4,0.6985,365.5661,3.664,64.9843
52,2023-01-13,Whitsunday,4,0.7199,360.6415,3.3272,82.8666
56,2023-01-14,Whitsunday,4,0.7139,363.9764,3.5985,76.3873
60,2023-01-15,Whitsunday,4,0.6513,363.9265,3.248,61.416
64,2023-01-16,Whitsunday,4,0.6397,367.1971,3.7372,51.9635
68,2023-01-17,Whitsunday,4,0.6256,358.0639,7.9406,44
72,2023-01-18,Whitsunday,4,0.6158,372.7315,5.8482,52.9821
76,2023-01-19,Whitsunday,4,0.6089,375.0769,2.8818,58.2125
80,2023-01-20,Whitsunday,4,0.6485,362.6475,3.3878,70.8484
84,2023-01-21,Whitsunday,4,0.6306,363.099,5.7016,72.9516
88,2023-01-22,Whitsunday,4,0.5872,368.2111,7.3839,58.3571
92,2023-01-23,Whitsunday,4,0.5678,361.5284,7.6513,63.7522
96,2023-01-24,Whitsunday,4,0.5782,354.4482,4.4731,53.5591
100,2023-01-25,Whitsunday,4,0.5835,349.9989,3.7777,57.3968
104,2023-01-26,Whitsunday,4,0.6233,347.2038,5.6183,56.8396
108,2023-01-27,Whitsunday,4,0.6295,333.0775,3.0144,50.3985
112,2023-01-28,Whitsunday,4,0.6063,324.9824,3.4239,47.9347
116,2023-01-29,Whitsunday,4,0.5198,325.6592,5.25,45.08
120,2023-01-30,Whitsunday,4,0.4829,327.0851,4.5537,43.4793
124,2023-01-31,Whitsunday,4,0.4744,331.5614,3.7032,45.978
128,2023-02-01,Whitsunday,4,0.4931,316.0719,11.1897,66.8029
132,2023-02-02,Whitsunday,4,0.5113,329.2529,2.7904,61.2857
136,2023-02-03,Whitsunday,4,0.5689,339.0171,6.5,49.125
140,2023-02-04,Whitsunday,4,0.5735,344.0135,3.7739,40.626
144,2023-02-05,Whitsunday,4,0.508,337.5329,4.2068,40.7931
148,2023-02-06,Whitsunday,4,0.4873,340.388,4.8571,44.1696
152,2023-02-07,Whitsunday,4,0.4823,338.1967,4.2441,44.1395
156,2023-02-08,Whitsunday,4,0.4857,342.2119,4.2842,42.0736
160,2023-02-09,Whitsunday,4,0.5332,348.7739,3.864,48.408
164,2023-02-10,Whitsunday,4,0.5892,344.7023,3.6326,48.7006
168,2023-02-11,Whitsunday,4,0.5961,341.7684,3.9166,51.6111
172,2023-02-12,Whitsunday,4,0.5498,340.2748,3.25,44.98
176,2023-02-13,Whitsunday,4,0.536,336.1336,3.9674,34.6016
180,2023-02-14,Whitsunday,4,0.5302,328.5467,2.9438,47.8314
184,2023-02-15,Whitsunday,4,0.5323,334.3264,3.4607,46.8921
188,2023-02-16,Whitsunday,4,0.5824,340.386,3.2553,38.7588
192,2023-02-17,Whitsunday,4,0.6237,339.4883,2.773,44.8297
196,2023-02-18,Whitsunday,4,0.638,339.5734,8.3405,46.5652
200,2023-02-19,Whitsunday,4,0.5424,338.2257,3.1702,39.5851
204,2023-02-20,Whitsunday,4,0.5096,336.6586,3.4757,41.699
208,2023-02-21,Whitsunday,4,0.5205,334.5066,4.0392,38.3627
