date,lga_name,average_historical_occupancy,average_daily_rate,date,lga_name,average_length_of_stay,average_booking_window,,
2023-01-01,Cairns,0.776,283.8151,2023-01-01,Cairns,10.6884,81.6115,,1
2023-01-01,Gold Coast,0.7636,391.8278,2023-01-01,Gold Coast,8.0718,75.3816,,1
2023-01-01,Noosa,0.8501,431.3611,2023-01-01,Noosa,6.2792,91.072,,1
2023-01-01,Whitsunday,0.8575,378.0744,2023-01-01,Whitsunday,5.1407,102.9851,,1
2023-01-02,Cairns,0.7189,276.0222,2023-01-02,Cairns,5.5602,71.4367,,1
2023-01-02,Gold Coast,0.7355,387.2607,2023-01-02,Gold Coast,5.2213,68.0838,,1
2023-01-02,Noosa,0.8242,426.1181,2023-01-02,Noosa,5.4782,93.7237,,1
2023-01-02,Whitsunday,0.8195,377.7442,2023-01-02,Whitsunday,4.0717,102.3384,,1
2023-01-03,Cairns,0.6871,272.2751,2023-01-03,Cairns,5.3333,74.44,,1
2023-01-03,Gold Coast,0.7538,386.5607,2023-01-03,Gold Coast,4.952,68.264,,1
2023-01-03,Noosa,0.821,425.0433,2023-01-03,Noosa,6.9093,89.8705,,1
2023-01-03,Whitsunday,0.7812,376.3594,2023-01-03,Whitsunday,7.0931,92.0248,,1
2023-01-04,Cairns,0.6647,267.2004,2023-01-04,Cairns,4.9628,59.8801,,1
2023-01-04,Gold Coast,0.7608,380.3056,2023-01-04,Gold Coast,4.8342,66.9005,,1
2023-01-04,Noosa,0.8048,421.5872,2023-01-04,Noosa,9.5333,89.6842,,1
2023-01-04,Whitsunday,0.7735,377.0013,2023-01-04,Whitsunday,5.0068,86.6068,,1
2023-01-05,Cairns,0.6568,266.6966,2023-01-05,Cairns,6.261,65.9397,,1
2023-01-05,Gold Coast,0.7573,381.5207,2023-01-05,Gold Coast,4.8191,55.8459,,1
2023-01-05,Noosa,0.8002,422.3139,2023-01-05,Noosa,4.1992,79.8844,,1
2023-01-05,Whitsunday,0.7986,385.6598,2023-01-05,Whitsunday,5.9565,89.3726,,1
2023-01-06,Cairns,0.6549,260.9983,2023-01-06,Cairns,5.645,49.3931,,1
2023-01-06,Gold Coast,0.7498,376.1983,2023-01-06,Gold Coast,4.9936,61.3881,,1
2023-01-06,Noosa,0.765,405.0788,2023-01-06,Noosa,5.6237,67.6067,,1
2023-01-06,Whitsunday,0.7938,373.0587,2023-01-06,Whitsunday,4.4109,73.6301,,1
2023-01-07,Cairns,0.6348,258.1485,2023-01-07,Cairns,9.632,73.844,,1
2023-01-07,Gold Coast,0.7277,374.7809,2023-01-07,Gold Coast,4.9167,59.4815,,1
2023-01-07,Noosa,0.7467,399.8842,2023-01-07,Noosa,6.6092,78.1292,,1
2023-01-07,Whitsunday,0.7799,364.5553,2023-01-07,Whitsunday,4.2153,81.2076,,1
2023-01-08,Cairns,0.6106,253.2946,2023-01-08,Cairns,5.6043,73.1347,,1
2023-01-08,Gold Coast,0.6865,361.7114,2023-01-08,Gold Coast,5.593,56.208,,1
2023-01-08,Noosa,0.7181,397.4451,2023-01-08,Noosa,6.1242,71.8,,1
2023-01-08,Whitsunday,0.7452,370.3526,2023-01-08,Whitsunday,6.0136,85.17,,1
2023-01-09,Cairns,0.5972,253.2524,2023-01-09,Cairns,5.8905,58.083,,1
2023-01-09,Gold Coast,0.6918,357.9031,2023-01-09,Gold Coast,5.6948,62.4968,,1
2023-01-09,Noosa,0.7187,393.1512,2023-01-09,Noosa,5.7521,71.6005,,1
2023-01-09,Whitsunday,0.739,364.0056,2023-01-09,Whitsunday,5.9022,80.0459,,1
2023-01-10,Cairns,0.5847,250.5041,2023-01-10,Cairns,4.5622,54.1612,,1
2023-01-10,Gold Coast,0.7102,357.4896,2023-01-10,Gold Coast,4.69,54.0033,,1
2023-01-10,Noosa,0.7174,396.8259,2023-01-10,Noosa,5.4356,63.8132,,1
2023-01-10,Whitsunday,0.7258,368.2444,2023-01-10,Whitsunday,3.7272,89.9173,,1
2023-01-11,Cairns,0.5823,249.6869,2023-01-11,Cairns,5.9716,61.1886,,1
2023-01-11,Gold Coast,0.7269,356.2818,2023-01-11,Gold Coast,4.8237,54.7398,,1
2023-01-11,Noosa,0.7198,392.9046,2023-01-11,Noosa,4.9459,62.6563,,1
2023-01-11,Whitsunday,0.721,366.8329,2023-01-11,Whitsunday,5.3858,86.0472,,1
2023-01-12,Cairns,0.5829,246.3707,2023-01-12,Cairns,5.615,53.469,,1
2023-01-12,Gold Coast,0.7338,353.8467,2023-01-12,Gold Coast,4.4981,55.626,,1
2023-01-12,Noosa,0.6993,387.2321,2023-01-12,Noosa,4.4861,62.1343,,1
2023-01-12,Whitsunday,0.6985,365.5661,2023-01-12,Whitsunday,3.664,64.9843,,1
2023-01-13,Cairns,0.5685,246.4229,2023-01-13,Cairns,6.0048,42.7135,,1
2023-01-13,Gold Coast,0.7427,359.9103,2023-01-13,Gold Coast,3.4353,53.0077,,1
2023-01-13,Noosa,0.7099,383.2939,2023-01-13,Noosa,4.7259,57.1355,,1
2023-01-13,Whitsunday,0.7199,360.6415,2023-01-13,Whitsunday,3.3272,82.8666,,1
2023-01-14,Cairns,0.5602,244.7839,2023-01-14,Cairns,4.0462,54.2777,,1
2023-01-14,Gold Coast,0.7345,358.1403,2023-01-14,Gold Coast,5.4372,60.8339,,1
2023-01-14,Noosa,0.6995,384.5959,2023-01-14,Noosa,4.5472,64.1013,,1
2023-01-14,Whitsunday,0.7139,363.9764,2023-01-14,Whitsunday,3.5985,76.3873,,1
2023-01-15,Cairns,0.5497,238.7771,2023-01-15,Cairns,7.244,57.9803,,1
2023-01-15,Gold Coast,0.6567,349.232,2023-01-15,Gold Coast,6.1109,56.9229,,1
2023-01-15,Noosa,0.6362,386.165,2023-01-15,Noosa,7.2302,74.0296,,1
2023-01-15,Whitsunday,0.6513,363.9265,2023-01-15,Whitsunday,3.248,61.416,,1
2023-01-16,Cairns,0.5391,239.2601,2023-01-16,Cairns,5.4862,53.266,,1
2023-01-16,Gold Coast,0.6616,346.4049,2023-01-16,Gold Coast,5.7218,61.3505,,1
2023-01-16,Noosa,0.6289,380.8513,2023-01-16,Noosa,4.8645,73.6967,,1
2023-01-16,Whitsunday,0.6397,367.1971,2023-01-16,Whitsunday,3.7372,51.9635,,1
2023-01-17,Cairns,0.5305,239.34,2023-01-17,Cairns,7.0909,44.5681,,1
2023-01-17,Gold Coast,0.6661,343.0668,2023-01-17,Gold Coast,5.2011,54.6708,,1
2023-01-17,Noosa,0.6293,377.7614,2023-01-17,Noosa,4.9581,53.2719,,1
2023-01-17,Whitsunday,0.6256,358.0639,2023-01-17,Whitsunday,7.9406,44,,1
2023-01-18,Cairns,0.5371,237.669,2023-01-18,Cairns,5.733,45.1402,,1
2023-01-18,Gold Coast,0.6753,346.4894,2023-01-18,Gold Coast,4.4763,51.8448,,1
2023-01-18,Noosa,0.6253,379.1298,2023-01-18,Noosa,4.7323,57.4272,,1
2023-01-18,Whitsunday,0.6158,372.7315,2023-01-18,Whitsunday,5.8482,52.9821,,1
2023-01-19,Cairns,0.5156,238.3914,2023-01-19,Cairns,4.6195,47.3369,,1
2023-01-19,Gold Coast,0.6809,345.4083,2023-01-19,Gold Coast,3.7675,45.6787,,1
2023-01-19,Noosa,0.6355,379.6353,2023-01-19,Noosa,5.0806,51.6572,,1
2023-01-19,Whitsunday,0.6089,375.0769,2023-01-19,Whitsunday,2.8818,58.2125,,1
2023-01-20,Cairns,0.5365,236.0929,2023-01-20,Cairns,4.5294,38.0042,,1
2023-01-20,Gold Coast,0.69,354.7091,2023-01-20,Gold Coast,4.9429,44.6734,,1
2023-01-20,Noosa,0.6311,373.1004,2023-01-20,Noosa,3.6091,61.4823,,1
2023-01-20,Whitsunday,0.6485,362.6475,2023-01-20,Whitsunday,3.3878,70.8484,,1
2023-01-21,Cairns,0.5332,237.6139,2023-01-21,Cairns,5.9372,48.13,,1
2023-01-21,Gold Coast,0.6872,353.5422,2023-01-21,Gold Coast,5.7272,50.2692,,1
2023-01-21,Noosa,0.6363,371.3553,2023-01-21,Noosa,5.3122,71.9036,,1
2023-01-21,Whitsunday,0.6306,363.099,2023-01-21,Whitsunday,5.7016,72.9516,,1
2023-01-22,Cairns,0.5246,231.0846,2023-01-22,Cairns,4.7,44.5526,,1
2023-01-22,Gold Coast,0.6345,341.0137,2023-01-22,Gold Coast,6.1779,49.8133,,1
2023-01-22,Noosa,0.5638,366.4297,2023-01-22,Noosa,4.7243,65.7102,,1
2023-01-22,Whitsunday,0.5872,368.2111,2023-01-22,Whitsunday,7.3839,58.3571,,1
2023-01-23,Cairns,0.5233,222.3842,2023-01-23,Cairns,7.5172,44.6256,,1
2023-01-23,Gold Coast,0.625,335.2294,2023-01-23,Gold Coast,5.7053,52.7515,,1
2023-01-23,Noosa,0.5362,365.8222,2023-01-23,Noosa,5.7159,72.4242,,1
2023-01-23,Whitsunday,0.5678,361.5284,2023-01-23,Whitsunday,7.6513,63.7522,,1
2023-01-24,Cairns,0.5129,220.784,2023-01-24,Cairns,6.4402,31.8364,,1
2023-01-24,Gold Coast,0.6083,332.1403,2023-01-24,Gold Coast,5.3433,43.4626,,1
2023-01-24,Noosa,0.5261,358.4518,2023-01-24,Noosa,4.258,56.344,,1
2023-01-24,Whitsunday,0.5782,354.4482,2023-01-24,Whitsunday,4.4731,53.5591,,1
2023-01-25,Cairns,0.5235,221.648,2023-01-25,Cairns,4.8,32.8279,,1
2023-01-25,Gold Coast,0.6204,328.0949,2023-01-25,Gold Coast,4.4531,43.2765,,1
2023-01-25,Noosa,0.5798,355.3859,2023-01-25,Noosa,3.3816,49.4408,,1
2023-01-25,Whitsunday,0.5835,349.9989,2023-01-25,Whitsunday,3.7777,57.3968,,1
2023-01-26,Cairns,0.5401,221.2421,2023-01-26,Cairns,5.5228,34.9045,,1
2023-01-26,Gold Coast,0.6664,328.7861,2023-01-26,Gold Coast,4.3793,40.2912,,1
2023-01-26,Noosa,0.6617,355.1527,2023-01-26,Noosa,3.6715,48.6102,,1
2023-01-26,Whitsunday,0.6233,347.2038,2023-01-26,Whitsunday,5.6183,56.8396,,1
2023-01-27,Cairns,0.5343,217.2098,2023-01-27,Cairns,4.6682,25.8388,,1
2023-01-27,Gold Coast,0.6784,333.461,2023-01-27,Gold Coast,4.4122,46.5329,,1
2023-01-27,Noosa,0.6835,349.7366,2023-01-27,Noosa,3.6708,47.9686,,1
2023-01-27,Whitsunday,0.6295,333.0775,2023-01-27,Whitsunday,3.0144,50.3985,,1
2023-01-28,Cairns,0.5154,217.4798,2023-01-28,Cairns,4.5073,27.463,,1
2023-01-28,Gold Coast,0.644,328.3863,2023-01-28,Gold Coast,4.129,37.2322,,1
2023-01-28,Noosa,0.6452,350.3235,2023-01-28,Noosa,3.3073,47.4862,,1
