spend,cards_seen,no_txns,date,region,category
47851.797,951,1216,21/08/2023,Whitsundays,PROFESSIONAL SERVICES
543021.8,14798,23216,21/08/2023,Whitsundays,FAST FOOD RESTAURANTS
542343.8,8403,11803,21/08/2023,Whitsundays,PKG STORES/BEER/WINE/LIQUOR
808205.44,10631,21055,21/08/2023,Whitsundays,BARS/TAVERNS/LOUNGES/DISCOS
190794.38,1435,2606,21/08/2023,Whitsundays,ENTERTAINMENT
1450531.8,22956,25157,21/08/2023,Whitsundays,FUEL
425893.28,4984,7652,21/08/2023,Whitsundays,TOURIST ATTRACTIONS
699714.1,8428,11273,21/08/2023,Whitsundays,HEALTH CARE & DRUG STORE
166597.42,3974,5748,21/08/2023,Whitsundays,TRANSPORTATION
156592.42,1967,3018,21/08/2023,Whitsundays,RETAIL SERVICES
30218.77,232,241,21/08/2023,Whitsundays,TELECOM
84615.45,538,604,21/08/2023,Whitsundays,TRAILER PARKS AND CAMPGROUNDS
1553781.6,22304,53901,21/08/2023,Whitsundays,RESTAURANTS
1629620.9,9208,31788,21/08/2023,Whitsundays,HOTELS/MOTELS & RESORTS
497994.94,6044,10076,21/08/2023,Whitsundays,AUTOMOTIVE
29725.059,123,148,21/08/2023,Whitsundays,AIRLINES/AIR CARRIERS
688615.6,7369,9435,21/08/2023,Whitsundays,RETAIL STORES
587927.8,5843,7252,21/08/2023,Whitsundays,RETAIL GOODS
337005.3,6753,9131,21/08/2023,Whitsundays,DISCOUNT & VARIETY STORES
4093776.5,34841,85497,21/08/2023,Whitsundays,FOOD & GROCERY
76509.51,164,239,21/08/2023,Whitsundays,VEHICLE RENTAL
116282.63,312,299,21/08/2023,Whitsundays,TRAVEL AGENCIES
87942.88,1324,2031,21/08/2023,Whitsundays,BUSINESS TO BUSINESS
461800.88,2014,3134,21/08/2023,Whitsundays,EDUCATION & GOVERNMENT
693900,4294,6108,21/08/2023,Whitsundays,HOME IMPROVEMENT & SUPPLY
626251.9,6107,7280,17/06/2024,Whitsundays,RETAIL GOODS
67765.81,161,226,17/06/2024,Whitsundays,TRAVEL AGENCIES
56039.426,916,1243,17/06/2024,Whitsundays,PROFESSIONAL SERVICES
107913.9,3842,5816,17/06/2024,Whitsundays,TRANSPORTATION
175882.34,2092,2280,17/06/2024,Whitsundays,EDUCATION & GOVERNMENT
139884.6,233,290,17/06/2024,Whitsundays,VEHICLE RENTAL
595464.3,7587,15814,17/06/2024,Whitsundays,BARS/TAVERNS/LOUNGES/DISCOS
1513258.5,16601,32587,17/06/2024,Whitsundays,RESTAURANTS
365759.78,14752,23411,17/06/2024,Whitsundays,FAST FOOD RESTAURANTS
512809.66,7785,9591,17/06/2024,Whitsundays,HEALTH CARE & DRUG STORE
104684.66,1492,1412,17/06/2024,Whitsundays,BUSINESS TO BUSINESS
335426.22,7010,7279,17/06/2024,Whitsundays,DISCOUNT & VARIETY STORES
170449.61,2216,3958,17/06/2024,Whitsundays,TOURIST ATTRACTIONS
673073.25,7483,10614,17/06/2024,Whitsundays,PKG STORES/BEER/WINE/LIQUOR
2615011,28102,65865,17/06/2024,Whitsundays,FOOD & GROCERY
203604.58,2411,3134,17/06/2024,Whitsundays,RETAIL SERVICES
1383744.2,8108,28225,17/06/2024,Whitsundays,HOTELS/MOTELS & RESORTS
1508619.5,19600,30957,17/06/2024,Whitsundays,FUEL
713139.9,5438,7230,17/06/2024,Whitsundays,RETAIL STORES
44566.902,295,384,17/06/2024,Whitsundays,TRAILER PARKS AND CAMPGROUNDS
869444.4,4283,6768,17/06/2024,Whitsundays,HOME IMPROVEMENT & SUPPLY
155848.62,1536,2060,17/06/2024,Whitsundays,ENTERTAINMENT
22336.701,263,285,17/06/2024,Whitsundays,TELECOM
380496.94,4619,8555,17/06/2024,Whitsundays,AUTOMOTIVE
226657.95,1893,2794,11/09/2023,Whitsundays,EDUCATION & GOVERNMENT
539197.9,6073,8317,13/11/2023,Whitsundays,AUTOMOTIVE
1548846.1,13285,38033,13/11/2023,Whitsundays,HOTELS/MOTELS & RESORTS
45484.19,999,1200,13/11/2023,Whitsundays,PROFESSIONAL SERVICES
49750.734,312,290,13/11/2023,Whitsundays,TELECOM
653190.56,10076,14530,13/11/2023,Whitsundays,PKG STORES/BEER/WINE/LIQUOR
